Page Load Time for iteration 1: 3501 ms | 3.50 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 2: 252 ms | 0.25 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 3: 288 ms | 0.29 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 4: 307 ms | 0.31 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 5: 333 ms | 0.33 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 6: 327 ms | 0.33 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 7: 295 ms | 0.29 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 8: 293 ms | 0.29 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 9: 353 ms | 0.35 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 10: 301 ms | 0.30 s | Max: 3000 ms | 3.00 s
Average Page Load Time: 625 ms | 0.63 s | Max: 3000 ms | 3.00 s
First Contentful Paint: 279.30 ms | 0.28 s | Max: 3000 ms | 3.00 s
Time to Interactive: 50 ms | 0.05 s | Max: 7000 ms | 7.00 s
Element Load Time: 11 ms | 0.01 s | Max: 2000 ms | 2.00 s
Page Load Time for iteration 1: 2415 ms | 2.42 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 2: 295 ms | 0.29 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 3: 259 ms | 0.26 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 4: 246 ms | 0.25 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 5: 228 ms | 0.23 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 6: 243 ms | 0.24 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 7: 306 ms | 0.31 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 8: 250 ms | 0.25 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 9: 244 ms | 0.24 s | Max: 3000 ms | 3.00 s
Page Load Time for iteration 10: 248 ms | 0.25 s | Max: 3000 ms | 3.00 s
Average Page Load Time: 473.4 ms | 0.47 s | Max: 3000 ms | 3.00 s
First Contentful Paint: 197.00 ms | 0.20 s | Max: 3000 ms | 3.00 s
Time to Interactive: 16 ms | 0.02 s | Max: 7000 ms | 7.00 s
Element Load Time: 12 ms | 0.01 s | Max: 2000 ms | 2.00 s
